LOOPID,HHMMSS,YYYYMMDD,has_data,scan_count,flag,volume
1,32220,20111025,1,0,0,0
1,32240,20111025,1,12,0,1
1,32300,20111025,1,45,0,2
1,32320,20111025,1,27,0,1
1,32340,20111025,1,21,0,1
1,32400,20111025,1,81,0,3
1,32420,20111025,1,57,0,1
1,32440,20111025,1,78,0,3
1,32500,20111025,1,54,0,1
1,32520,20111025,1,18,0,1
1,32540,20111025,1,30,0,1
1,32600,20111025,1,51,0,1
1,32620,20111025,1,24,0,2
1,32640,20111025,1,39,0,1
1,32700,20111025,1,0,0,0
1,32720,20111025,1,54,0,1
1,32740,20111025,1,24,0,1
1,32800,20111025,1,12,0,1
1,32820,20111025,1,39,0,2
1,32840,20111025,1,138,0,2
1,32900,20111025,1,0,0,0
1,32920,20111025,1,27,0,2
1,32940,20111025,1,119,0,5
1,33000,20111025,1,12,0,1
1,33020,20111025,1,30,0,3
1,33040,20111025,1,39,0,2
1,33100,20111025,1,50,0,2
1,33120,20111025,1,27,0,1
1,33140,20111025,1,53,0,3
1,33200,20111025,1,9,0,1
1,33220,20111025,1,21,0,2
1,33240,20111025,1,60,0,2
1,33300,20111025,1,60,0,2
1,33320,20111025,1,24,0,2
1,33340,20111025,1,60,0,1
1,33400,20111025,1,12,0,1
1,33420,20111025,1,54,0,1
1,33440,20111025,1,111,0,2
1,33500,20111025,1,63,0,2
1,33520,20111025,1,27,0,2
1,33540,20111025,1,12,0,1
1,33600,20111025,1,93,0,5
1,33620,20111025,1,78,0,2
1,33640,20111025,1,0,0,0
1,33700,20111025,1,24,0,2
1,33720,20111025,1,48,0,3
1,33740,20111025,1,24,0,2
1,33800,20111025,1,54,0,1
1,33820,20111025,1,12,0,1
1,33840,20111025,1,12,0,1
1,33900,20111025,1,0,0,0
1,33920,20111025,1,48,0,1
1,33940,20111025,1,24,0,2
1,34000,20111025,1,0,0,0
1,34020,20111025,1,15,0,1
1,34040,20111025,1,56,0,3
1,34100,20111025,1,47,0,1
1,34120,20111025,1,33,0,3
1,34140,20111025,1,123,0,3
1,34200,20111025,1,0,0,0
1,34220,20111025,1,63,0,1
1,34240,20111025,1,33,0,2
1,34300,20111025,1,75,3,1
1,34320,20111025,1,78,0,2
1,34340,20111025,1,21,0,2
1,34400,20111025,1,0,0,0
1,34420,20111025,1,0,0,0
1,34440,20111025,1,30,0,2
1,34500,20111025,1,54,0,3
1,34520,20111025,1,12,0,1
1,34540,20111025,1,11,0,1
1,34600,20111025,1,12,0,1
1,34620,20111025,1,66,0,2
1,34640,20111025,1,45,0,1
1,34700,20111025,1,81,0,2
1,34720,20111025,1,21,0,2
1,34740,20111025,1,72,3,1
1,34800,20111025,1,0,0,0
1,34820,20111025,1,126,0,2
1,34840,20111025,1,54,0,1
1,34900,20111025,1,81,0,2
1,34920,20111025,1,66,0,1
1,34940,20111025,1,69,0,2
1,35000,20111025,1,9,0,1
1,35020,20111025,1,9,0,1
1,35040,20111025,1,168,0,3
1,35100,20111025,1,62,0,4
1,35120,20111025,1,39,0,2
1,35140,20111025,1,63,0,1
1,35200,20111025,1,21,0,1
1,35220,20111025,1,27,0,2
1,35240,20111025,1,114,0,2
1,35300,20111025,1,27,0,2
1,35320,20111025,1,0,0,0
1,35340,20111025,1,54,0,1
1,35400,20111025,1,66,0,2
1,35420,20111025,1,66,0,1
1,35440,20111025,1,9,0,1
1,35500,20111025,1,9,0,1
1,35520,20111025,1,21,0,1
1,35540,20111025,1,33,0,3
1,35600,20111025,1,102,0,3
1,35620,20111025,1,12,0,1
1,35640,20111025,1,75,0,2
1,35700,20111025,1,9,0,1
1,35720,20111025,1,39,0,1
1,35740,20111025,1,15,0,1
1,35800,20111025,1,51,0,1
1,35820,20111025,1,93,0,2
1,35840,20111025,1,9,0,1
1,35900,20111025,1,15,0,1
1,35920,20111025,1,108,0,3
1,35940,20111025,1,47,0,0
